Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,ko,pt,pt-br,ru,zh-cjv,zh-cn,zh-tw
GameChat_TeamChat_CannotTeamChatIfNotInTeam,,,,"Teamchat ist nur verfügbar, wenn du Mitglied eines Teams bist!",You cannot team chat if you are not on a team!,¡No puedes chatear con tu equipo si no formas parte de un equipo!,¡No puedes chatear con tu equipo si no formas parte de un equipo!,Vous ne pouvez pas avoir de discussion d'équipe si vous n'appartenez pas à une équipe !,Non puoi chattare con la squadra se non sei in una squadra!,チームに所属していなければチームチャットは出来ません。,팀에 속하지 않으면 팀 채팅을 이용할 수 없어요!,Você não pode participar de chat de equipe se não estiver em uma!,Você não pode participar de chat de equipe se não estiver em uma!,"Вы не можете общаться в командном чате, если не состоите в команде!",如果你不在该团队，则无法进行团队聊天。,如果你不在该团队，则无法进行团队聊天。,若您不在隊伍中，您無法使用隊伍頻道。
GameChat_TeamChat_NowInTeam,,,,Du bist nun Mitglied im Team „{RBX_NAME}“.,You are now on the '{RBX_NAME}' team.,"Ahora formas parte del equipo ""{RBX_NAME}"".","Ahora formas parte del equipo ""{RBX_NAME}"".",Vous êtes désormais dans l'équipe {RBX_NAME}.,"Ora sei nella squadra ""{RBX_NAME}"".",あなたは現在「{RBX_NAME}」チームに所属しています。,현재 '{RBX_NAME}'팀에 속해 있어요.,Você agora está na equipe '{RBX_NAME}'.,Você agora está na equipe '{RBX_NAME}'.,Вы вступили в команду {RBX_NAME}.,你正在团队“{RBX_NAME}”中。,你正在团队“{RBX_NAME}”中。,您在「{RBX_NAME}」隊伍。
GameChat_TeamChat_WelcomeMessage,,,,Dies ist ein privater Kanal für dich und deine Teammitglieder.,This is a private channel between you and your team members.,Este es un canal privado entre tú y los miembros de tu equipo.,Este es un canal privado entre tú y los miembros de tu equipo.,Ceci est un canal privé entre les membres de votre équipe et vous.,Questo è un canale privato tra te e i membri della tua squadra.,これはあなたとあなたのチームメンバーとのプライベートチャンネルです。,회원님과 팀원 간의 비공개 채널이에요.,Este é um canal privado entre você e os membros da sua equipe.,Este é um canal privado entre você e os membros da sua equipe.,Это канал для личного общения участников вашей команды.,这是你与团队成员之间的私人频道。,这是你与团队成员之间的私人频道。,這是您與隊伍成員的私人頻道。
InGame.Chat.ErrorMessageAnimationPlaying,,,,Du kannst das Emote während dieser Aktion nicht abspielen.,You cannot play Emotes during this action.,No puedes usar los emotes durante esta acción.,No puedes usar los emotes durante esta acción.,Tu ne peux pas jouer à Emotes pendant cette action.,Non puoi giocare Emote durante questa azione.,この動作中はエモートを表示できません。,이 동작 중에는 감정 표현을 적용할 수 없습니다.,Você não pode usar emotes durante esta ação.,Você não pode usar emotes durante esta ação.,,无法在此动作进行时使用其他动作。,无法在此动作进行时使用其他动作。,無法在此動作執行時使用其他動作。
InGame.Chat.ErrorMessageSwitchToR15,,,,"Wechsle zu deinem R15-Avatar, um das Emote abzuspielen.",Switch to your R15 avatar to play Emote.,Cambia tu avatar a R15 para usar los emotes.,Cambia tu avatar a R15 para usar los emotes.,Passe à ton avatar R15 pour jouer à Emote.,Passa al tuo avatar R15 per giocare a Emote.,エモートを表示するにはR15アバターに切り替えてください。,감정 표현을 적용하려면 R15 아바타로 전환하세요.,Mude seu avatar para o modelo R15 para usar emotes.,Mude seu avatar para o modelo R15 para usar emotes.,,切换成 R15 虚拟形象以使用此动作。,切换成 R15 虚拟形象以使用此动作。,切換成 R15 虛擬人偶即可使用此動作。
InGame.Chat.Label.From,,,,Von,From,De,De,De,Da,から,발신:,De,De,От ,来自于,来自于,自
InGame.Chat.Label.SystemMessagePrefix,,,,System,System,Sistema,Sistema,Système,Sistema,システム,시스템,Sistema,Sistema,Система,系统,系统,系統
InGame.Chat.Label.TeamMessagePrefix,,,,Team,Team,Equipo,Equipo,Équipe,Squadra,チーム,팀,Equipe,Equipe,Команда,队伍,队伍,隊伍
InGame.Chat.Label.To,,,,Bis,To,Para,Para,À,A,へ,수신:,Para,Para,Для,发送至,发送至,對
InGame.Chat.Response.DisplayNameMultipleMatches,,,,Warnung: Die folgenden Benutzer:innen haben diesen angezeigten Namen: ,Warning: The following users have this display name: ,Advertencia: Los siguientes jugadores tienen este nombre de usuario: ,Advertencia: Los siguientes jugadores tienen este nombre de usuario: ,Avertissement - Les utilisateurs suivants ont ce nom d'affichage : ,"Attenzione, i seguenti utenti hanno questo nome: ",警告: 以下のユーザーには、この表示名があります: ,주의: 다음 사용자들이 이 표시 이름을 사용하고 있습니다.,Aviso! Os seguintes usuários têm esse nome de exibição: ,Aviso! Os seguintes usuários têm esse nome de exibição: ,Внимание! Такое имя есть у нескольких пользователей: ,注意：以下用户正在使用此昵称：,注意：以下用户正在使用此昵称：,注意：以下使用者正在使用此顯示名稱：
InGame.Chat.Response.EmoteNotAvailable,,,,Du kannst dieses Emote nicht benutzen.,You can't use that Emote.,No puedes usar ese emoticono.,No puedes usar ese emoticono.,Tu ne peux pas utiliser cette Emote.,Non puoi usare quell'emoticon.,そのエモートは使えません。,이 감정 표현은 사용할 수 없어요.,Você não pode usar esse emote.,Você não pode usar esse emote.,Вы не можете использовать эту эмоцию.,无法使用该动作。,无法使用该动作。,無法使用該動作。
InGame.Chat.Response.EmotesNotSupported,,,,Du kannst hier keine Emotes verwenden.,You can't use Emotes here.,No puedes usar emoticonos aquí.,No puedes usar emoticonos aquí.,Tu ne peux pas utiliser les Emotes ici.,Qui non puoi usare le emoticon.,ここではエモートはここでは使えません。,여기서는 감정 표현을 사용할 수 없어요.,Você não pode usar emotes aqui.,Você não pode usar emotes aqui.,Здесь нельзя использовать эмоции.,无法在此挑战中使用动作。,无法在此游戏中使用动作。,無法在此遊戲使用動作。
InGame.Chat.Response.EmotesTemporarilyUnavailable,,,,You can't use Emotes right now.,You can't use Emotes right now.,No puedes usar emoticonos en este momento.,No puedes usar emoticonos en este momento.,Tu ne peux pas utiliser d'Emote maintenant.,Adesso non puoi usare le emoticon.,今はエモートを使えません。,지금은 감정 표현을 사용할 수 없어요.,Você não pode usar emotes no momento.,Você não pode usar emotes no momento.,Вы не можете использовать эмоции прямо сейчас.,当前无法使用动作。,当前无法使用动作。,現在無法使用動作。
InGame.Chat.Response.EmotesWrongAvatarType,,,,Nur R15 Avatars können Emotes verwenden.,Only R15 avatars can use Emotes.,Solo los avatares R15 pueden usar emoticonos.,Solo los avatares R15 pueden usar emoticonos.,Seuls les avatars R15 peuvent utiliser les Emotes.,Solo gli avatar R15 possono usare le emoticon.,R15指定のアバターのみエモートを使えます。,R15 아바타만 감정 표현을 사용할 수 있어요.,Apenas avatares R15 podem usar emotes.,Apenas avatares R15 podem usar emotes.,Только аватары R15 могут использовать эмоции.,只有 R15 虚拟形象可以使用动作。,只有 R15 虚拟形象可以使用动作。,只有 R15 虛擬人偶可以使用動作。
